Name,Rank,Country,Childrens,Age,Industry,NetWorth,Source,Citizenship,Education,Self_made,Status,Residence
Shin Dong-joo,2674,South Korea,1,67,Fashion & Retail,$1 B,retail,South Korea,"Bachelor of Arts/Economics, Aoyama Gakuin University; Master of Business Administration, Columbia Business School",False,Married,"Tokyo, Japan"
Shintaro Yamada,1444,Japan,0,43,Technology,$2.2 B,mobile apps,Japan,,True,,"Tokyo, Japan"
Shirou Terashita,2524,Japan,0,62,Service,$1.1 B,investor relations consulting,Japan,"Bachelor of Business Administration, Aoyama Gakuin University",True,,"Tokyo, Japan"
Shiv Nadar,71,India,1,75,Technology,$23.5 B,software services,India,"Bachelor of Arts/Science, PSG College of Technology",True,Married,"Delhi, India"
Shmuel Harlap,1664,Israel,0,76,Automotive,$1.9 B,automotive,Israel,,False,,"Tel Aviv, Israel"
Shu Ping,502,Singapore,0,51,Food & Beverage,$5.5 B,restaurants,Singapore,,True,Married,"Singapore, Singapore"
Shum Chiu Hung & family,1205,China,0,51,Real Estate,$2.6 B,real estate,China,"EMBA, Fudan University",True,Married,"Guangzhou, China"
Shusheng Zheng,2141,China,0,55,Telecom,$1.4 B,telecom,China,"Doctorate, Zhejiang University",True,,"Hangzhou, China"
Shyam & Hari Bhartia,859,India,2,68,Diversified,$3.5 B,diversified,India,,False,Married,"Delhi, India"
Sid Bass,1064,United States,2,78,Energy,$2.9 B,"oil, investments",United States,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",False,Divorced,"Fort Worth, Texas"
Sidney Kimmel,2141,United States,0,93,Fashion & Retail,$1.4 B,retail,United States,"Drop Out, Temple University",True,Married,"New York, New York"
Silvio Berlusconi & family,327,Italy,5,84,Diversified,$7.6 B,media,Italy,"Doctor of Jurisprudence, University of Milan",True,Divorced,"Milan, Italy"
Simon Nixon,2378,United Kingdom,0,53,Technology,$1.2 B,price comparison website,United Kingdom,"Drop Out, Nottingham University",True,Single,"St. Brelade, Jersey, United Kingdom"
Simon Reuben,323,United Kingdom,1,79,Diversified,$7.7 B,"real estate, investments",United Kingdom,"Drop Out, Sir John Cass College, London",True,Married,"Monaco, Monaco"
Simona Giorgetta,2524,Italy,0,43,Construction & Engineering,$1.1 B,chemical products,Italy,,False,,"Milan, Italy"
Smita Crishna-Godrej,1299,India,2,70,Diversified,$2.4 B,consumer goods,India,,False,Married,"Mumbai, India"
Sofie Kirk Kristiansen,274,Denmark,0,45,Manufacturing,$8.7 B,Lego,Denmark,,False,,"Billund, Denmark"
Soichiro Fukutake,2524,Japan,1,75,Service,$1.1 B,education,Japan,"Bachelor of Arts/Science, Waseda University",False,Married,"Auckland, New Zealand"
Sol Daurella,1580,Spain,0,55,Food & Beverage,$2 B,Coca-Cola bottler,Spain,,False,Married,"Madrid, Spain"
Solomon Lew,1580,Australia,3,76,Fashion & Retail,$2 B,retail,Australia,,True,Married,"Melbourne, Australia"
Somphote Ahunai,925,Thailand,3,53,Energy,$3.3 B,renewable energy,Thailand,"Master of Business Administration, Joseph M. Katz Graduate School of Business",True,Married,"Bangkok, Thailand"
Song Fei,775,China,0,54,Manufacturing,$3.8 B,machinery,China,,True,Married,"Yantai, China"
Song Zuowen,1008,China,2,74,Diversified,$3 B,"aluminum, diversified",China,,True,Married,"Longkou, China"
Sri Prakash Lohia,404,Indonesia,2,68,Manufacturing,$6.5 B,petrochemicals,Indonesia,"Bachelor of Arts/Science, Delhi University",False,Married,"London, United Kingdom"
Stanley Druckenmiller,496,United States,0,67,Finance & Investments,$5.6 B,hedge funds,United States,"Bachelor of Arts/Science, Bowdoin College",True,Married,"New York, New York"
Stanley Hubbard,1664,United States,5,87,Media & Entertainment,$1.9 B,DirecTV,United States,"Bachelor of Arts/Science, University of Minnesota",False,Married,"St. Paul, Minnesota"
Stanley Kroenke,304,United States,2,73,Sports,$8.2 B,"sports, real estate",United States,"Master of Business Administration, Robert J. Trulaske, Sr. College of Business; Bachelor of Arts/Science, University of Missouri",True,Married,"Electra, Texas"
Stanley Tang,1580,United States,0,28,Technology,$2 B,food delivery app,United States,"Bachelor of Arts/Science, Stanford University",True,,"San Francisco, California"
Stef Wertheimer & family,432,Israel,4,94,Manufacturing,$6.2 B,metalworking tools,Israel,,True,Married,"tel aviv, Israel"
Stefan Olsson,1664,Sweden,0,72,Diversified,$1.9 B,diversified,Sweden,,False,Married,"London, United Kingdom"
Stefan Persson,84,Sweden,3,73,Fashion & Retail,$21.3 B,H&M,Sweden,"Associate in Arts/Science, University of Stockholm",False,Married,"Stockholm, Sweden"
Stefan Pierer,2263,Austria,0,64,Automotive,$1.3 B,automotive,Austria,"Bachelor of Arts/Science, Montan University",True,,"Wels, Austria"
Stefan Quandt,81,Germany,1,54,Automotive,$21.6 B,BMW,Germany,"Associate in Arts/Science, Technical University of Karlsruhe",False,Married,"Frankfurt, Germany"
Stefan Reimann-Andersen,775,Germany,0,57,Fashion & Retail,$3.8 B,consumer goods,Germany,,False,,"Vienna, Austria"
Stefan von Holtzbrinck,1111,Germany,0,57,Media & Entertainment,$2.8 B,publishing,Germany,"Diploma, University of Munich",False,,"Stuttgart, Germany"
Stefano Gabbana,1931,Italy,0,58,Fashion & Retail,$1.6 B,luxury goods,Italy,"Bachelor of Arts/Science, Istituto Superiore di Industrie Artistiche",True,Single,"Milan, Italy"
Stefano Pessina,234,Italy,2,79,Fashion & Retail,$9.7 B,drugstores,Italy,"Bachelor of Engineering, Politecnico di Milano",False,Divorced,"Monte Carlo, Monaco"
Stein Erik Hagen,1205,Norway,4,64,Fashion & Retail,$2.6 B,consumer goods,Norway,,True,Married,"Oslo, Norway"
Stelios Haji-Ioannou,2378,Cyprus,0,54,Service,$1.2 B,EasyJet,Cyprus,"Master of Science, City University of London; Bachelor of Arts/Science, London School of Economics",False,Single,"Monte Carlo, Monaco"
Stephan Schmidheiny,1362,Switzerland,2,73,Finance & Investments,$2.3 B,investments,Switzerland,"Doctorate, University of Zurich",False,Married,"Hurden, Switzerland"
Stéphane Bancel,665,France,0,48,Healthcare,$4.3 B,biotech,France,"Master of Science in Engineering, Ecole Centrale Paris; Master of Business Administration, Harvard University; Master of Science in Engineering, University of Minnesota",True,,"Boston, Massachusetts"
Stephen Bisciotti,574,United States,2,60,Sports,$4.9 B,"staffing, Baltimore Ravens",United States,"Bachelor of Arts/Science, Salisbury State University",True,Married,"Millersville, Maryland"
Stephen Feinberg,1299,United States,3,61,Finance & Investments,$2.4 B,private equity,United States,"Bachelor of Arts/Science, Princeton University",True,Married,"New York, New York"
Stephen Jarislowsky,1750,Canada,3,95,Finance & Investments,$1.8 B,money management,Canada,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Harvard University; Master of Arts, The University of Chicago",True,Married,"Montreal, Canada"
Stephen Lansdown,1205,Guernsey,2,68,Finance & Investments,$2.6 B,financial services,Guernsey,,True,Married,"St. Peter Port, Guernsey"
"Stephen Mandel, Jr.",752,United States,3,65,Finance & Investments,$3.9 B,hedge funds,United States,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University; Diploma, Phillips Academy Exeter",True,Married,"Greenwich, Connecticut"
Stephen Ross,369,United States,4,80,Real Estate,$7 B,real estate,United States,"Master of Laws, New York University; Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, Wayne State University",True,Married,"New York, New York"
Stephen Rubin,925,United Kingdom,4,84,Fashion & Retail,$3.3 B,sports apparel,United Kingdom,,False,Married,"London, United Kingdom"
Stephen Schwarzman,79,United States,3,74,Finance & Investments,$21.9 B,investments,United States,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University",True,Married,"New York, New York"
Stephen Smith,1205,Canada,3,69,Finance & Investments,$2.6 B,finance and investments,Canada,"Bachelor of Science in Engineering, Queens University",True,Married,"Toronto, Canada"
Stephen Winn,1664,United States,0,74,Real Estate,$1.9 B,real estate services,United States,"Master of Science, Stanford University; Bachelor of Arts/Science, The University of Texas at Austin",True,Married,"Dallas, Texas"
Steve Ballmer,14,United States,3,65,Technology,$68.7 B,Microsoft,United States,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University",True,Married,"Hunts Point, Washington"
Steve Case,2035,United States,5,62,Technology,$1.5 B,AOL,United States,"Bachelor of Arts/Science, Williams College",True,Married,"McLean, Virginia"
Steve Cohen,119,United States,7,64,Finance & Investments,$16 B,hedge funds,United States,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True,Married,"Greenwich, Connecticut"
Steve Conine,831,United States,3,48,Technology,$3.6 B,online retail,United States,"Bachelor of Science in Engineering, Cornell University",True,Married,"Boston, Massachusetts"
Steve Wynn,956,United States,2,79,Gambling & Casinos,$3.2 B,"casinos, hotels",United States,"Bachelor of Arts/Science, University of Pennsylvania",True,Married,"Las Vegas, Nevada"
Steven Klinsky,891,United States,0,64,Finance & Investments,$3.4 B,investments,United States,"Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard Law School; Bachelor of Arts/Economics, University of Michigan, Ann Arbor",True,,"New York, New York"
Steven Meng Yang & family,680,China,0,38,Technology,$4.2 B,electronics,China,"Bachelor of Arts/Science, Peking University; Masters of Science in Technology, The University of Texas, Austin",True,Married,"Changsha, China"
Steven Rales,264,United States,3,70,Manufacturing,$8.9 B,manufacturing,United States,"Law Degree, American University; Bachelor of Arts/Science, DePauw University",True,Married,"Santa Barbara, California"
Steven Sarowitz,1205,United States,0,55,Technology,$2.6 B,payroll software,United States,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",True,Married,"Highland Park, Illinois"
Steven Schuurman,2035,Netherlands,0,45,Technology,$1.5 B,software,Netherlands,,True,,"Amsterdam, Netherlands"
Steven Spielberg,807,United States,7,74,Media & Entertainment,$3.7 B,movies,United States,"Bachelor of Arts/Science, California State Long Beach",True,Married,"Pacific Palisades, California"
Steven Tisch,2378,United States,5,72,Diversified,$1.2 B,insurance,United States,,False,,"Beverly Hills, California"
Steven Udvar-Hazy,665,United States,4,75,Service,$4.3 B,aircraft leasing,United States,"Bachelor of Arts/Science, University of California, Los Angeles",True,Married,"Beverly Hills, California"
Stewart and Lynda Resnick,358,United States,5,,Food & Beverage,$7.1 B,"agriculture, water",United States,,True,Married,"Beverly Hills, California"
Stewart Butterfield,1833,Canada,0,48,Technology,$1.7 B,messaging software,Canada,"Master of Philosophy, University of Cambridge; Bachelor of Arts/Science, University of Victoria",True,Married,"Aspen, Colorado"
Stewart Horejsi & family,1362,United States,2,83,Finance & Investments,$2.3 B,Berkshire Hathaway,United States,,True,Divorced,"Phoenix, Arizona"
Stewart Rahr,1362,United States,2,75,Healthcare,$2.3 B,drug distribution,United States,"Bachelor of Arts/Science, New York University",False,Divorced,"New York, New York"
Strive Masiyiwa,2035,Zimbabwe,6,60,Telecom,$1.5 B,telecom,Zimbabwe,"Bachelor of Engineering, University of Wales",True,Married,"London, United Kingdom"
Su Hua,107,China,0,39,Media & Entertainment,$17.8 B,video streaming,China,"Bachelor of Science, Tsinghua University",True,,"Beijing, China"
Su Rubo,2524,China,0,66,Real Estate,$1.1 B,real estate,China,"Bachelor of Arts/Science, Jinan University; Bachelor of Arts/Science, Jinan University",True,,"Foshan, China"
Su Suyu & family,1174,China,0,72,Real Estate,$2.7 B,"utilities, real estate",China,,True,,"Shantou, China"
Subhash Runwal,1931,India,3,77,Real Estate,$1.6 B,real estate,India,"Chartered Accountant, Institute of Chartered Accountants of India; B.Com, Pune University",True,Married,"Mumbai, India"
Sudhir Mehta,1064,India,2,66,Healthcare,$2.9 B,"pharmaceuticals, power",India,,False,Married,"Ahmedabad, India"
Sue Gross,2035,United States,1,71,Finance & Investments,$1.5 B,investments,United States,"Associate in Arts/Science, Saddleback College",False,Divorced,"Laguna Beach, California"
Suh Kyung-bae,705,South Korea,2,58,Fashion & Retail,$4.1 B,cosmetics,South Korea,"Master of Business Administration, Samuel Curtis Johnson Graduate School of Management; Bachelor of Arts/Science, Yonsei University",False,Married,"Seoul, South Korea"
Suhail Bahwan,1362,Oman,15,82,Diversified,$2.3 B,diversified,Oman,,True,Married,"Muscat, Oman"
Sukanto Tanoto,2141,Indonesia,4,71,Diversified,$1.4 B,diversified,Indonesia,,True,Married,"Singapore, Singapore"
Suleiman Kerimov & family,124,Russia,3,55,Finance & Investments,$15.8 B,investments,Russia,"Bachelor of Arts/Science, Dagestan State University",True,Married,"Moscow, Russia"
Sumet Jiaravanon,502,Thailand,0,86,Diversified,$5.5 B,diversified,Thailand,,False,,"Bangkok, Thailand"
Sun Guangxin,1750,China,2,58,Diversified,$1.8 B,diversified,China,"Master of Arts, Chinese Academy of Social Sciences; EMBA, Tianjin University",True,Married,"Urumqi, China"
Sun Hongbin,251,United States,0,58,Real Estate,$9.3 B,real estate,United States,"Master, Tsinghua University",True,,"Tianjin, China"
Sun Huaiqing & family,1362,China,0,51,Fashion & Retail,$2.3 B,cosmetics,China,"EMBA, Guanghua School of Management",True,Married,"Guangzhou, China"
Sun Mengquan & family,1249,China,0,71,Food & Beverage,$2.5 B,edible oil,China,,True,,"Yantai, China"
Sun Piaoyang,96,China,1,62,Healthcare,$18.9 B,pharmaceuticals,China,"Bachelor of Arts/Science, China Pharmaceutical University; Doctorate, Nanjing University",True,Married,"Lianyungang, China"
Sun Qinghuan,2035,China,0,47,Technology,$1.5 B,lighting,China,,True,Married,"Zhongshan, China"
Sun Shoukuan,1174,China,2,71,Manufacturing,$2.7 B,"metals, coal",China,,True,Married,"Yingkou, China"
Sun Weijie,1931,China,1,57,Manufacturing,$1.6 B,oilfield equipment,China,"Bachelor of Arts/Science, Shandong Institute of Business and Technology",True,Married,"Yantai, China"
Sun Xishuang,2524,China,0,67,Real Estate,$1.1 B,real estate,China,,True,,"Beijing, China"
Sun Yonghui,2035,China,0,50,Technology,$1.5 B,LCD main board,China,,True,,"Guangzhou, China"
Sunil Mittal & family,213,India,3,63,Telecom,$10.5 B,telecom,India,"Bachelor of Arts/Science, Punjab University",True,Married,"Delhi, India"
Sunil Vachani,2524,India,2,52,Manufacturing,$1.1 B,electronics,India,,True,Married,"Delhi, India"
Sunny Varkey,2141,India,2,63,Service,$1.4 B,education,India,,False,Married,"Dubai, United Arab Emirates"
Surin Upatkoon,2674,Thailand,3,71,Diversified,$1 B,"telecom, lotteries, insurance",Thailand,High School,True,Married,"Kuala Lumpur, Malaysia"
Surjit Kumar Gupta,1664,India,2,79,Manufacturing,$1.9 B,electrical equipment,India,,False,Married,"Delhi, India"
Susan Alfond,1362,United States,3,75,Fashion & Retail,$2.3 B,shoes,United States,,False,,"Scarborough, Maine"
Susanne Klatten,53,Germany,3,58,Automotive,$27.7 B,"BMW, pharmaceuticals",Germany,"Master of Business Administration, International Institute for Management and Development",False,Married,"Bad Homburg, Germany"
Susanto Suwarto,2524,Indonesia,0,65,Media & Entertainment,$1.1 B,media,Indonesia,"Bachelor of Electronics and Telecom Engineering, Trisakti University",True,,"Jakarta, Indonesia"
Sushilkumar Parekh,2035,India,3,88,Manufacturing,$1.5 B,adhesives,India,,False,Married,"Mumbai, India"
Susumu Fujita,1931,Japan,1,47,Media & Entertainment,$1.6 B,internet media,Japan,,True,Married,"Tokyo, Japan"
Swift Xie,2141,China,0,41,Technology,$1.4 B,drones,China,,True,,"Shenzhen, China"
Sybill Storz,1008,Germany,1,84,Healthcare,$3 B,medical devices,Germany,,False,Married,"Leipzig, Germany"
Syed Mokhtar AlBukhary,2378,Malaysia,5,69,Construction & Engineering,$1.2 B,"engineering, energy, construction",Malaysia,"Drop Out, High School",True,Married,"Kuala Lumpur, Malaysia"
Sylvia Stroeher,1580,Germany,1,65,Fashion & Retail,$2 B,cosmetics,Germany,,False,Married,"Darmstadt, Germany"
Sze Man Bok,1362,China,1,71,Manufacturing,$2.3 B,hygiene products,China,,True,Married,"Jinjiang, China"
T. Denny Sanford,1111,United States,2,85,Finance & Investments,$2.8 B,"banking, credit cards",United States,"Bachelor of Arts/Science, University of Minnesota",True,Divorced,"Sioux Falls, South Dakota"
T.S. Kalyanaraman,2674,India,3,73,Fashion & Retail,$1 B,jewelry,India,,True,Married,"Thrissur, India"
T.Y. Tsai,1299,Taiwan,1,68,Finance & Investments,$2.4 B,finance,Taiwan,"EMBA, National Taiwan University; Bachelor of Arts/Science, Tokai University",False,Married,"Taipei, Taiwan"
Tadashi Yanai & family,31,Japan,2,72,Fashion & Retail,$44.1 B,fashion retail,Japan,"Bachelor of Arts/Science, Waseda University",True,Married,"Tokyo, Japan"
Taha Mikati,1249,Lebanon,3,76,Telecom,$2.5 B,telecom,Lebanon,"Bachelor of Arts/Science, American University of Beirut, Lebanon",True,Married,"Beirut, Lebanon"
Tahir & family,925,Indonesia,4,69,Diversified,$3.3 B,diversified,Indonesia,"Master of Business Administration, Golden Gate University; Bachelor of Arts/Science, Nan Yang University",True,Married,"Jakarta, Indonesia"
Taichiro Motoe,2378,Japan,0,45,Technology,$1.2 B,Internet services,Japan,,True,,"Kashiwa, Japan"
Takahisa Takahara,311,Japan,0,59,Fashion & Retail,$7.9 B,personal care goods,Japan,,False,,"Tokyo, Japan"
Takanori Nakamura,2524,Japan,0,48,Technology,$1.1 B,cloud software,Japan,,True,,"Tokyo, Japan"
Takao Kobayashi,2378,Japan,0,56,Fashion & Retail,$1.2 B,cosmetics,Japan,,False,,"Tokyo, Japan"
Takao Yasuda,665,Japan,1,71,Fashion & Retail,$4.3 B,retail,Japan,"Bachelor of Arts/Science, Keio University",True,Married,"Singapore, Singapore"
Takemitsu Takizaki,62,Japan,0,75,Manufacturing,$25.8 B,sensors,Japan,,True,Married,"Osaka, Japan"
Tamara Gustavson,496,United States,2,59,Service,$5.6 B,self storage,United States,"Bachelor of Arts/Science, University of Southern California",False,Married,"Lexington, Kentucky"
Tan Eng Kee,2524,Malaysia,3,51,Manufacturing,$1.1 B,factory equipment,Malaysia,,True,Married,"Penang, Malaysia"
Tan Lili,1664,China,0,,Food & Beverage,$1.9 B,feed,China,,True,,"Guangzhou, China"
Tan Ruiqing,2141,China,0,54,Manufacturing,$1.4 B,chemicals,China,,True,Married,"Zhengzhou, China"
Tan Yu Wei,2524,Malaysia,0,48,Fashion & Retail,$1.1 B,retail,Malaysia,,False,,"Selangor, Malaysia"
Tan Yu Yeh,1750,Malaysia,0,50,Fashion & Retail,$1.8 B,retail,Malaysia,,True,,"Selangor, Malaysia"
Tang Jianfang,1931,China,0,,Food & Beverage,$1.6 B,packaged foods,China,,True,Married,"Wuhan, China"
Tang Jinkui & family,1299,China,0,65,Manufacturing,$2.4 B,"textiles, petrochemicals",China,,True,Married,"Suzhou, China"
Tang Shing-bor,608,Hong Kong,5,87,Real Estate,$4.7 B,real estate,Hong Kong,,True,Married,"Hong Kong, Hong Kong"
Tang Xiuguo,1580,China,1,57,Manufacturing,$2 B,manufacturing,China,"Bachelor of Arts/Science, Central South University",True,Married,"Changsha, China"
Tang Yiu,1444,Hong Kong,2,87,Fashion & Retail,$2.2 B,fashion retail,Hong Kong,,True,Married,"Hong Kong, Hong Kong"
Tang Zhuang,2263,United States,0,48,Technology,$1.3 B,electronics,United States,"Bachelor of Arts/Science, Peking University; Doctorate, Univeristy of Illinois at Urbana-Champaign",True,,"Wuxi, China"
Tao Yuequn,1174,China,0,61,Fashion & Retail,$2.7 B,Contact Lens,China,,True,,"Hefei, China"
Tatyana Bakalchuk,164,Russia,4,45,Fashion & Retail,$13 B,ecommerce,Russia,"Bachelor of Science, State University of Management",True,Married,"Moscow region, Russia"
Ted Alfond,1362,United States,3,76,Fashion & Retail,$2.3 B,shoes,United States,,False,Married,"Weston, Massachusetts"
Ted Lerner & family,589,United States,3,95,Real Estate,$4.8 B,real estate,United States,"Associate in Arts/Science, George Washington University; LLB, George Washington University",True,Married,"Chevy Chase, Maryland"
Ted Turner,1362,United States,5,82,Media & Entertainment,$2.3 B,cable television,United States,"Bachelor of Arts/Science, Brown University",False,Divorced,"Atlanta, Georgia"
Teddy Sagi,539,Israel,6,49,Gambling & Casinos,$5.2 B,gambling software,Israel,,True,In Relationship,"Tel Aviv, Israel"
Teh Hong Piow,486,Malaysia,4,91,Finance & Investments,$5.7 B,banking,Malaysia,"Bachelor of Arts/Science, University of Malaya",True,Married,"Kuala Lumpur, Malaysia"
Terence (Terry) Matthews,2141,Canada,4,78,Telecom,$1.4 B,telecom,Canada,"Doctorate, Carleton College; Bachelor of Arts/Science, University of Wales",True,Married,"Ottawa, Canada"
Teresita Sy-Coson,1174,Philippines,3,70,Diversified,$2.7 B,diversified,Philippines,"Bachelor of Science, Assumption College",False,Widowed,"Manila, Philippines"
Terrence Pegula,520,United States,5,70,Energy,$5.4 B,natural gas,United States,"Bachelor of Science in Engineering, Pennsylvania State University",True,Married,"Boca Raton, Florida"
Terry Gou,369,Taiwan,5,70,Technology,$7 B,electronics,Taiwan,Taipei University of Marine Technology,True,Divorced,"Taipei, Taiwan"
Terry Snow,2263,Australia,4,77,Real Estate,$1.3 B,"airports, real estate",Australia,,True,Married,"Canberra, Australia"
Thai Lee,956,United States,2,62,Technology,$3.2 B,IT provider,United States,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard Business School",True,Divorced,"Austin, Texas"
Thaksin Shinawatra,1580,Thailand,3,71,Finance & Investments,$2 B,investments,Thailand,"Master of Science, Eastern Kentucky University",True,Divorced,"Dubai, United Arab Emirates"
"Theo Albrecht, Jr. & family",98,Germany,1,70,Fashion & Retail,$18.8 B,"Aldi, Trader Joe's",Germany,,False,,"Mulheim an der Ruhr, Germany"
Theo Mueller,550,Germany,9,81,Food & Beverage,$5.1 B,dairy,Germany,,False,In Relationship,"Zurich, Switzerland"
Theodore Leonsis,2141,United States,2,65,Sports,$1.4 B,sports teams,United States,,True,Married,"Bethesda, Maryland"
Theodore Rachmat,1833,Indonesia,3,77,Diversified,$1.7 B,diversified,Indonesia,"Bachelor of Arts/Science, Bandung Institute of Technology",False,Married,"Jakarta, Indonesia"
Thierry Cruanes,1664,United States,2,53,Technology,$1.9 B,software,United States,"Master of Science, Université de Caen Normandie; Ph.D, University Paris VI - Pierre et Marie Curie",True,Married,"San Mateo, California"
Thierry Dassault,344,France,0,64,Diversified,$7.3 B,diversified,France,,False,,"Paris, France"
Thomas Bailey,2378,United States,2,84,Finance & Investments,$1.2 B,money management,United States,"Bachelor of Arts/Science, Michigan State University; Master of Business Administration, University of Western Ontario",True,Divorced,"Aspen, Colorado"
Thomas Bruch,2524,Germany,3,70,Fashion & Retail,$1.1 B,retail,Germany,,False,Married,"St. Wendel, Germany"
Thomas Duff,2141,United States,2,64,Diversified,$1.4 B,"tires, diversified",United States,"Bachelor of Arts/Science, University of Southern Mississippi",True,Divorced,"Hattiesburg, Mississippi"
"Thomas Frist, Jr. & family",126,United States,3,82,Healthcare,$15.7 B,hospitals,United States,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University",True,Married,"Nashville, Tennessee"
Thomas Hagen,665,United States,2,85,Finance & Investments,$4.3 B,insurance,United States,"Bachelor of Arts/Science, Ohio State University",False,Widowed,"Erie, Pennsylvania"
Thomas James,1750,United States,2,78,Finance & Investments,$1.8 B,finance,United States,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard University; Doctor of Jurisprudence, Stetson University",False,Married,"Saint Petersburg, Florida"
Thomas Kirk Kristiansen,274,Denmark,0,42,Manufacturing,$8.7 B,Lego,Denmark,,False,,"Billund, Denmark"
Thomas Kwok,1444,Hong Kong,2,69,Real Estate,$2.2 B,real estate,Hong Kong,"Bachelor of Engineering, Imperial College London; Master of Business Administration, London Business School",False,Married,"Hong Kong, Hong Kong"
Thomas Lee,1580,United States,5,77,Finance & Investments,$2 B,private equity,United States,"Bachelor of Arts/Science, Harvard University",True,Married,"New York, New York"
Thomas Peterffy,65,United States,3,76,Finance & Investments,$25 B,discount brokerage,United States,"Drop Out, New York University",True,Divorced,"Palm Beach, Florida"
Thomas Pritzker,638,United States,3,70,Finance & Investments,$4.5 B,"hotels, investments",United States,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, University of Chicago; Master of Business Administration, University of Chicago",False,Married,"Chicago, Illinois"
Thomas Sandell,2263,Sweden,1,60,Finance & Investments,$1.3 B,hedge funds,Sweden,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Uppsala University",True,Married,"London, United Kingdom"
Thomas Schmidheiny,589,Switzerland,4,75,Construction & Engineering,$4.8 B,cement,Switzerland,"Doctorate, Tufts University; Bachelor of Arts/Science, Zurich Polytechnic",False,Married,"Jona, Switzerland"
Thomas Secunda,859,United States,2,66,Media & Entertainment,$3.5 B,Bloomberg LP,United States,"Bachelor of Arts/Science, SUNY Binghamton",True,Married,"Croton-on-Hudson, New York"
Thomas Siebel,574,United States,4,68,Technology,$4.9 B,business software,United States,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign; Master of Business Administration, University of Illinois, Urbana-Champaign; Master of Science, University of Illinois, Urbana-Champaign",True,Married,"Woodside, California"
Thomas Steyer,2141,United States,4,63,Finance & Investments,$1.4 B,hedge funds,United States,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",True,Separated,"San Francisco, California"
Thomas Straumann,680,Switzerland,0,57,Healthcare,$4.2 B,dental implants,Switzerland,,False,,"Basel, Switzerland"
Thomas Struengmann & family,200,Germany,4,71,Healthcare,$11 B,pharmaceuticals,Germany,"Master of Business Administration, University of Augsburg; Master of Business Administration, University of Augsburg",True,Married,"Tegernsee, Germany"
Thomas Tull,2378,United States,0,50,Media & Entertainment,$1.2 B,"movies, investments",United States,,True,Married,"Pittsburgh, Pennsylvania"
Thomas von Koch,2378,Sweden,0,55,Finance & Investments,$1.2 B,asset management,Sweden,,True,Married,"Hong Kong, Hong Kong"
Thomas Wu,2035,Taiwan,2,71,Finance & Investments,$1.5 B,finance,Taiwan,"Bachelor of Arts/Science, Fu Jen Catholic University; Master of Business Administration, University of California, Los Angeles",False,Married,"Taipei, Taiwan"
Thongma Vijitpongpun,2378,Thailand,1,63,Real Estate,$1.2 B,real estate,Thailand,,True,Married,"Bangkok, Thailand"
Thor Bjorgolfsson,1444,Iceland,3,54,Diversified,$2.2 B,investments,Iceland,"Bachelor of Arts/Science, New York University",True,Married,"London, United Kingdom"
Tian Ming,1008,China,0,67,Technology,$3 B,measuring instruments,China,,True,Married,"Hefei, China"
Tilman Fertitta,622,United States,4,63,Food & Beverage,$4.6 B,"Houston Rockets, entertainment",United States,"Drop Out, Texas Tech University; Drop Out, University of Houston",True,Married,"Houston, Texas"
Tim Cook,2263,United States,0,60,Technology,$1.3 B,Apple,United States,"Master of Business Administration, Fuqua School of Business",True,,"Cupertino, California"
Tim Draper,2035,United States,3,62,Finance & Investments,$1.5 B,cryptocurrency,United States,,False,Married,"Atherton, California"
Tim Sweeney,608,United States,0,50,Media & Entertainment,$4.7 B,video games,United States,,True,,"Cary, North Carolina"
Timothy Boyle,1174,United States,2,71,Fashion & Retail,$2.7 B,Columbia Sportswear,United States,"Bachelor of Arts/Science, University of Oregon",True,Married,"Portland, Oregon"
Timothy Headington,2141,United States,0,70,Energy,$1.4 B,"oil & gas, investments",United States,"Bachelor of Arts/Science, University of Oklahoma",False,Single,"Dallas, Texas"
Timothy Springer,1444,United States,0,73,Healthcare,$2.2 B,biotech,United States,"Ph.D, Harvard University; Bachelor of Science, University of California, Berkeley",True,Married,"Chestnut Hill, Massachusetts"
Timur Kulibaev,1111,Kazakhstan,3,54,Finance & Investments,$2.8 B,banking,Kazakhstan,"Bachelor of Arts/Science, Moscow State University",True,Married,"Almaty, Kazakhstan"
Timur Turlov,1517,Russia,6,33,Finance & Investments,$2.1 B,stock brokerage,Russia,"Bachelor of Science, Moscow State Technical University",True,Married,"Almaty, Kazakhstan"
